"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"の全身をにゅるにゅると愛撫した！" -> "I caressed the entire body of the body!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"テンタクルカレス（女）" -> "Tentacle Kalez (female)"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"の触手が" -> "The tentacle of"
"に絡み、腹部搾精口に咥え込まれた！" -> "I was caught in the abdominal extract mouth!"
"搾精口内部がじゅるじゅると蠢き、甘い快楽を与えてくる！" -> "If the interior of the puzzle mouth tightens, it will sweet and give sweet pleasures!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"アビスドレイン（女）" -> "Abyssdres (female)"
"還元 500" -> "Reduction 500"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"アビスドレイン（発動）" -> "Abyssd drain (invocation)"
"還元 500" -> "Reduction 500"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"アビスドレイン（継続）" -> "Abyssd drain (continued)"
"還元 500" -> "Reduction 500"
"は海神の雷を招来した！" -> "He brought lightning of the sea god!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"はナイトメアミストを吐き出した！" -> "He spit out Nightmare Mist!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"掃除機乱舞" -> "Cleaner Ranbu"
"は掃除機を鈍器のように振り回した！" -> "He swung the vacuum cleaner like a blunt instrument!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"掃除機ドレイン" -> "Vacuum cleaner drain"
"は掃除機を" -> "The vacuum cleaner"
"の股間に押し当てた！" -> "I pressed against my groin!"
"そのままじゅるじゅると精気を吸い取ってくる！" -> "You will suck up your mind as it is!"
"対象" -> "Object"
"ルカ＋女" -> "Luke + woman"
"還元 500" -> "Reduction 500"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"還元 500" -> "Reduction 500"
"百合の昇天" -> "Ascension of lily"
"は慣れた手つきで" -> "He is a familiar hand"
"の女性器を弄んだ！" -> "Toggle female instrument of!"
"対象" -> "Object"
"女" -> "woman"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"百合遊び" -> "Lily play"
"は興味津々に" -> "Be curious"
"の股間をいじくり回してきた！" -> "I was fiddling with my groin!"
"対象" -> "Object"
"女" -> "woman"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"の膣内がねっとりと蠢き、ペニスに甘い刺激を与える！" -> "The inside of the vagina gently smoothes and gives a sweet stimulation to the penis!"
"スキル命中率" -> "Skill Accuracy"
"は" -> "Is"
"にしがみつき、唇を重ねてきた！" -> "I clung to my lips, and I piled my lips!"
"そのままレベルが吸い取られてしまう！" -> "Levels will be sucked out as they are!"
"対象" -> "Object"
"ルカ＋女" -> "Luke + woman"
"自己付与 ステート" -> "Self-granting state"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"激しい放出感を促し、強制的に絶頂へと導く！" -> "Promotes intense release feeling and forcibly leads to cum!"
"スキル命中率" -> "Skill Accuracy"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"ご奉仕手淫（男）" -> "Handjob handjob (man)"
"は" -> "Is"
"の股間に手を伸ばし、慣れた手つきで扱きたててきた！" -> "I reached out to my crotch and treated it with familiar hands!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"ご奉仕手淫（女）" -> "Handjob handjob (female)"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"ご奉仕口淫（男）" -> "Volunteer mouth (man)"
"は" -> "Is"
"の股間に唇を当て、ねっとりと奉仕してきた！" -> "I put my lips on my crotch and serve you comfortably!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"ご奉仕口淫（女）" -> "Serving sluts (woman)"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"ご奉仕触手（男）" -> "Service tentacle (man)"
"の触手が" -> "The tentacle of"
"の股間を愛撫してきた！" -> "I caressed the groin of!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"ご奉仕触手（女）" -> "Service tentacle (female)"
"の触手が" -> "The tentacle of"
"の体を巻き取ってきた！" -> "I took up my body!"
"全身をぎゅうぎゅうと締め上げられる！" -> "You can tighten the whole body crying!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"ご奉仕締め上げ（女）" -> "Turn off service (woman)"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ご奉仕締め上げ（男）" -> "Tighten service (man)"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ご奉仕吸精（発動）" -> "Service Inhalation (Activation)"
"還元 500" -> "Reduction 500"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ご奉仕吸精（継続）" -> "Service Inhalation (continued)"
"還元 500" -> "Reduction 500"
"の触手が、" -> "The tentacles of"
"の体を捕食口に引き寄せていく！" -> "I will draw the body of my body to the predatory mouth!"
"そのまま一気に丸呑みにしてきた！" -> "I just took a swim as it is!"
"捕食技 起動ステート" -> "Predatory technique activation state"
"吸収" -> "absorption"
"の触手が嵐のように乱舞した！" -> "The tentacle of a tangled dance like a storm!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"淑女の手淫（男）" -> "Lady handjob (man)"
"は、手袋ごしに" -> "To the glove sashimi"
"の股間をさわさわと刺激してきた！" -> "I've been stimulating with my crotch!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"淑女の手淫（女）" -> "Lady handjob (woman)"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"淑女の口淫（男）" -> "Lady's lick and mouth (man)"
"は" -> "Is"
"の女性器を唇で優しくなぞり刺激してきた！" -> "I gently stimulated the lady's instruments with my lips!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"淑女の口淫（女）" -> "Lady's lick and mouth (female)"
"対象" -> "Object"
"ルカ" -> "Luke"
"の下半身が迫り、無数の足が" -> "The lower half of the body is approaching, countless feet"
"の体を抱え込んできた！" -> "I came carrying the body of!"
"体液がじわじわと吸い嫐られる！" -> "Bodily fluids are slowly sucked!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"体液搾取（女）" -> "Body fluid exploitation (female)"
"還元 500" -> "Reduction 500"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"体液搾取（発動）" -> "Body fluid exploitation (invocation)"
"還元 500" -> "Reduction 500"
"の内壁がちゅうちゅうと吸い付いてきた！" -> "The inside wall of the house came sucking in!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"体液搾取（継続）" -> "Body fluid exploitation (continued)"
"還元 500" -> "Reduction 500"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"触手の戯れ（男）" -> "Play of tentacles (man)"
"の触手が、" -> "The tentacles of"
"の股間をにゅるにゅると刺激してきた！" -> "I've been stimulating the crotch of the crown!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"触手の戯れ（女）" -> "Play of tentacles (female)"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"の触手が" -> "The tentacle of"
"の体を巻き上げ、傘の下にまで引き込まれてしまう！" -> "Roll up your body and get pulled in under the umbrella!"
"触手が全身をぬらぬら這い回り、股間にも這い回ってきた！" -> "Tentacles crawled all over the body, crawling around the crotch!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"貴婦人の遊技（女）" -> "Lady's game (woman)"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"貴婦人の遊技（男）" -> "Lady's game (man)"
"は二本のハタキを乱舞させた！" -> "He ruined two Hataki!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"は雑巾掛けをしながら猛烈に突進した！" -> "He rushed furiously while clapping it!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"の無数の乳房が周囲に広がる！" -> "Myriad breasts spread around!"
"柔らかな乳房が全身に押しつけられた！" -> "A soft breast was pressed against the whole body!"
"対象" -> "Object"
"ルカ＋女" -> "Luke + woman"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"必殺技 3" -> "Its Special Move 3"
"は無数の乳房で" -> "There are countless breasts"
"の体を覆い包んできた！" -> "I wrapped around my body!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"ヘブンズバスト（女）" -> "Heavens bust (female)"
"は無数の乳房でルカの体を覆い包んできた！" -> "He wrapped around Luke's body with myriad breasts!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"図鑑名称" -> "Illustration title"
"ヘブンズバスト（発動）" -> "Heavens bust (invocation)"
"は無数の乳房で全身をむにゅむにゅと愛撫してきた！" -> "He caressed the whole body with a myriad of breasts!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ヘブンズバスト（継続）" -> "Heavens bust (continued)"
"甘い掌" -> "Sweet palm"
"はペニスを握り、優しくさすってきた！" -> "He grabbed the penis and gently rubs it!"
"対象" -> "Object"
"ルカ" -> "Luke"
"甘いお口" -> "Sweet mouth"
"はペニスを咥え、貪欲にしゃぶりたてた！" -> "I got a penis, sucked and greedy!"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"甘いお口（男）" -> "Sweet mouth (man)"
"甘いお口" -> "Sweet mouth"
"は" -> "Is"
"の女性器に顔を寄せ、美味しそうに舐め回した！" -> "I looked at the female genitalia and licked it deliciously!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"甘いお口（女）" -> "Sweet mouth (woman)"
"甘いおっぱい" -> "Sweet tits"
"はペニスを胸に挟み、むにゅむにゅと刺激する！" -> "I will cramp the penis in my chest and stimulate it with mumbleun!"
"対象" -> "Object"
"ルカ" -> "Luke"
"ドロドロクリーム" -> "Droiding cream"
"のクリームが、" -> "Of cream,"
"の体にべっとりと降りかかる！" -> "Leaning on my body!"
"一人旅未使用" -> "Uninhabited unused"
"対象" -> "Object"
"ルカ＋女" -> "Luke + woman"
"スカートじゅるじゅる" -> "The skirt"
"のスカートが、" -> "The skirt,"
"の体をぱっくりと咥え込んだ！" -> "The body of the man caught riding carelessly!"
"そのままじゅるじゅると全身をしゃぶりたてられる！" -> "Sucking the whole body as it is!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"スカートじゅるじゅる（女）" -> "Junior skirt (female)"
"スカートぱっくん" -> "Skirt Pumpkin"
"のスカートが、ルカの体をぱっくりと咥え込んだ！" -> "A skirt got in love with Luca's body!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スカートじゅるじゅる" -> "The skirt"
"はスカートの口でルカの全身をしゃぶりたてた！" -> "He sucked the whole body of Luca with the mouth of the skirt!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"スカートじゅるじゅる（男）" -> "Skirt (Male)"
"あまあまぱっくん" -> "Amamasan Pacific"
"のスカートが、大口を開けて" -> "A skirt opened the big mouth"
"を咥え込む！" -> "Hold in!"
"そのままじゅるじゅるとすすり上げ、丸呑みにしてきた！" -> "As it is, I got rid of it, I took my whole sweetness!"
"捕食技 起動ステート" -> "Predatory technique activation state"
"吸収" -> "absorption"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"石化の魔力がじわじわ浸食してくる！" -> "The magical power of the petrification begins to erode slowly!"
"対象" -> "Object"
"ルカ" -> "Luke"
"石化口淫" -> "Petrified mouth horny"
"は舌で" -> "With a tongue"
"の女性器を舐め回してきた！" -> "I've been licking female instruments!"
"石化の魔力がじわじわ浸食してくる！" -> "The magical power of the petrification begins to erode slowly!"
"対象" -> "Object"
"女" -> "woman"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ストーンレイプ（発動）" -> "Stone rape (invocation)"
"の膣肉がぎゅうぎゅう狭まり、ペニスが締め付けられる！" -> "The vagina meat narrows and the penis is tightened!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ストーンレイプ（継続）" -> "Stone rape (continued)"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"竜撫（男）" -> "Funami (male)"
"は" -> "Is"
"の股間に手を伸ばし、嫐りたててきた！" -> "I reached out to my crotch and I was squeezing it!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"竜撫（女）" -> "Female fangs"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"は大きく口を開け、" -> "He opened his mouth wide,"
"の体にかぶりついてくる！" -> "I'm gonna get on my body!"
"舌が全身を舐め回し、じっくりと味わってくる！" -> "The tongue licks his whole body and tastes thoroughly!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"口内嫐り（女）" -> "Slapping inside the mouth (woman)"
"は大きく口を開け、ルカの体にかぶりついてくる！" -> "He opens his mouth largely and hurts Luca's body!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"口内嫐り（男）" -> "Mouth inside the mouth (man)"
"は炎を宿した牙で噛み付いた！" -> "I bit my fang holding a flame!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 3" -> "Attack Attribute 3"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"火神連脚（男）" -> "Fire Shinken Leg (Man)"
"は" -> "Is"
"の股間を踏み、女性器に刺激を与えてきた！" -> "I stepped on my crotch and gave stimulation to female genitalia!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"火神連脚（女）" -> "Fire Shinkenkaku (Female)"
"は" -> "Is"
"の体を正面から抱き締め、豊満な胸に顔をうずめさせる！" -> "Hug the body of the face from the front, make your face sprinkle in plenty breasts!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"火龍の抱擁（女）" -> "Fire Dragon's Embrace (F)"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"図鑑名称" -> "Illustration title"
"火龍の抱擁（男）" -> "Fire Dragon's Embrace (Men)"
"スキル命中率" -> "Skill Accuracy"
"は高熱の拳を繰り出し、爆炎を生み出した！" -> "He squeezed a fever with high fever and created a blast flame!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"粘液触手吸精" -> "Mucous tentacular insemination"
"の粘液触手がペニスを包み込み、じゅるじゅると吸い付いてきた！" -> "My muzzle tentacles wrapped up the penis and came sucking every time!"
"対象" -> "Object"
"ルカ" -> "Luke"
"還元 100" -> "Reduction 100"
"は粘液で" -> "Is mucus"
"の体を包み込んできた！" -> "I wrapped up my body!"
"キューブの中でじゅるじゅると弄ばれる！" -> "I am fiddled with it in the cube!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"キューブヘブン（女）" -> "Cube heaven (female)"
"キューブ取り込み" -> "Cube capture"
"は粘液でルカの体を包み込んできた！" -> "He enveloped Luca 's body with mucus!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"のキューブに包まれ、じゅるじゅると全身を弄ばれた！" -> "It was wrapped in a cube, and it was played with the whole body after all!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"キューブヘブン（男）" -> "Cube heaven (man)"
"轟氷撃" -> "Rough sea bounce"
"は轟氷の一撃を繰り出した！" -> "I caught a stroke of the ice Ice!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"は腰を落とし、一気にルカを犯してきた！" -> "He hurt down and made Luka at once!"
"対象" -> "Object"
"ルカ" -> "Luke"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"鬼の腰振り" -> "Demon's waist swing"
"は激しく腰を上下させ、容赦なく犯してきた！" -> "He rushed up and down severely, committing without mercy!"
"スキル命中率" -> "Skill Accuracy"
"は氷を宿した牙で噛み付いた！" -> "I bit my fang holding ice!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"の本体と獣部分が同時攻撃を仕掛けた！" -> "The main body and the beast part set up simultaneous attack!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は剣を鞘に納め、氷の居合いを放った！" -> "She paid the sword to the sheath and let out the ice cup!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"還元 1000" -> "Reduction 1000"
"は" -> "Is"
"の首筋に牙を突き立て、血を吸い始めた！" -> "He stroked his fang against his neck and began to smoke!"
"対象" -> "Object"
"ルカ＋女" -> "Luke + woman"
"還元 1000" -> "Reduction 1000"
"のドレスが、生きているように" -> "As the dress is alive"
"の体を覆い包んでくる！" -> "Wrapping around your body!"
"ドレスはざわざわと波打ち、精を搾り取ってきた！" -> "The dress was unevenly wavy, squeezing the sperm!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"吸精ドレス（女）" -> "Suicide dress (female)"
"還元 1000" -> "Reduction 1000"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"スキル命中率" -> "Skill Accuracy"
"還元 1000" -> "Reduction 1000"
"図鑑名称" -> "Illustration title"
"吸精ドレス（男）" -> "Sucking dress (man)"
"は魔力で落雷を引き起こした！" -> "He caused a lightning strike with magical power!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"コウモリは嵐の如く周囲に飛び交う！" -> "Bats fly around like storms!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"はレクイエムを歌った！" -> "I sang Requiem!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 31" -> "Attack Attribute 31"
"はサウンドインパクトを放った！" -> "He released the sound impact!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"快楽のつまびき" -> "Pleasure trampling"
"は弦を触手のように伸ばし、全身を愛撫した！" -> "He stretched the string like a tentacle and caressed the whole body!"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
"快楽のつまびき（男）" -> "Pleasure trampling (man)"
"快楽のつまびき" -> "Pleasure trampling"
"は弦を触手のように伸ばし、全身を愛撫した！" -> "He stretched the string like a tentacle and caressed the whole body!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"快楽のつまびき（女）" -> "Pleasure trampling (female)"
"悦びの弦" -> "Pleasure string"
"は弦を伸ばし、" -> "He stretched the string,"
"の体を絡め取ってきた！" -> "I caught my body tangled up!"
"弦が全身を嫐りたて、甘い悦びを与える！" -> "Strings brush their whole body and give sweet pleasure!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"悦びの弦（女）" -> "Pleasure string (female)"
"弦の拘束" -> "String restraint"
"は弦を伸ばし、ルカの体を絡め取ってきた！" -> "He stretched the string and took Luke's body tangled up!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"悦びの弦" -> "Pleasure string"
"の弦が全身を嫐りたて、甘い悦びを与える！" -> "A string of chicks shakes the whole body and gives sweet pleasure!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"悦びの弦（男）" -> "Pleasure string (man)"
"リボリボハウルン" -> "Riboriboharun"
"はカプセル状の機構に" -> "Is a capsule-shaped mechanism"
"を閉じ込めてきた！" -> "I caught you!"
"内部で機械に全身愛撫される！" -> "Full body caressing in the machine inside!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"リボリボハウルン（女）" -> "Riboriboharun (female)"
"リボリボハウルン" -> "Riboriboharun"
"はカプセル状の機構にルカを閉じ込めてきた！" -> "Has locked Luke in a capsule-like mechanism!"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"図鑑名称" -> "Illustration title"
"リボリボハウルン（発動）" -> "Ribobohoulun (invoked)"
"リボリボハウルン" -> "Riboriboharun"
"のカプセル内部で機械に全身愛撫される！" -> "The entire body is caressed in the machine inside the capsule!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"リボリボハウルン（継続）" -> "Riboboholn (continued)"
"の触手が" -> "The tentacle of"
"の全身を嫐りたててきた！" -> "I have pushed the whole body!"
"対象" -> "Object"
"女" -> "woman"
"図鑑名称" -> "Illustration title"
"スプレッドワーム（女）" -> "Spread worm (female)"
"の拳が過熱し、連続攻撃を繰り出した！" -> "The fist has overheated and has launched a series of attacks!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"の拳が冷却され、敵に集中攻撃を繰り出した！" -> "The fist was cooled, and a concentrated attack on the enemy was rolled out!"
"一人旅未使用" -> "Uninhabited unused"
"必殺技 3" -> "Its Special Move 3"
"攻撃属性 1" -> "Attack Attribute 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は交代でペニスをしゃぶりたててきた！" -> "He has sucked his penis with a substitute!"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は交代で胸にペニスを挟み込んできた！" -> "He caught a penis in his breast in turn!"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は両側からペニスに掌をかぶせてきた！" -> "I put a palm on the penis from both sides!"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"はペニスを両側から挟み込むように舐め回してきた！" -> "I have licked the penis so as to pinch it from both sides!"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"対象" -> "Object"
"ルカ" -> "Luke"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"二本の尻尾が、交代でペニスをしゃぶりたてる！" -> "Two tails suck and suck the penis!"
"対象" -> "Object"
"ルカ" -> "Luke"
"還元 1000" -> "Reduction 1000"
"図鑑名称" -> "Illustration title"
"ツインドレインテイル（男）" -> "Twin drain tail (man)"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"の尻尾が口を開け、" -> "The tail opens his mouth,"
"の股間に吸い付いてきた！" -> "Sucks crawl between!"
"二本の尻尾が、交代で女性器を嫐りたてる！" -> "Two tails replace female vessels in turn!"
"対象" -> "Object"
"女" -> "woman"
"還元 1000" -> "Reduction 1000"
"図鑑名称" -> "Illustration title"
"ツインドレインテイル（女）" -> "Twin drain tail (female)"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"対象" -> "Object"
"ルカ" -> "Luke"
"拘束開始技 2" -> "Binding start technique 2"
"リリムぬめった蜜壺が、ぐちゅりとペニスを包み込む！" -> "Lirim nuisance nectar is wrapped around the penis with a sharp!"
"永久拘束開始技" -> "Permanent restraint starting technique"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ツインエナジードレイン（発動）" -> "Twin energy drain (activated)"
"還元 1000" -> "Reduction 1000"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は同時に精気を搾りたてた！" -> "She also squeezed her mind at the same time!"
"リリムの膣奥がちゅうちゅうと吸い付き、亀頭から精をしゃぶり出す！" -> "The back of the virgin of Lirim sucks and sucks, sucks out fine from the glans!"
"スキル命中率" -> "Skill Accuracy"
"図鑑名称" -> "Illustration title"
"ツインエナジードレイン（継続）" -> "Twin energy drain (continued)"
"還元 1000" -> "Reduction 1000"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"は魔界搾精種を召喚した！" -> "Summoned Makai exploitation species!"
"必殺技 3" -> "Its Special Move 3"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"対象" -> "Object"
"ルカ" -> "Luke"
"図鑑名称" -> "Illustration title"
